,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,729000000.0,565000000.0,558000000.0,694000000.0,
Repurchase Of Capital Stock,-402000000.0,-177000000.0,-240000000.0,0.0,
Repayment Of Debt,-525000000.0,-451000000.0,-13000000.0,-699000000.0,
Issuance Of Debt,1008000000.0,18000000.0,5000000.0,1286000000.0,
Capital Expenditure,-653000000.0,-832000000.0,-622000000.0,-516000000.0,
Interest Paid Supplemental Data,121000000.0,126000000.0,131000000.0,127000000.0,
Income Tax Paid Supplemental Data,406000000.0,362000000.0,268000000.0,290000000.0,
End Cash Position,2094000000.0,1534000000.0,1338000000.0,1844000000.0,
Beginning Cash Position,1534000000.0,1338000000.0,1844000000.0,1650000000.0,
Effect Of Exchange Rate Changes,-22000000.0,0.0,-90000000.0,-3000000.0,
Changes In Cash,582000000.0,196000000.0,-416000000.0,197000000.0,
Cash Flow From Discontinued Operation,-30000000.0,-87000000.0,288000000.0,-58000000.0,
Financing Cash Flow,-167000000.0,-521000000.0,-564000000.0,294000000.0,
Cash Flow From Continuing Financing Activities,-167000000.0,-521000000.0,-564000000.0,294000000.0,
Net Other Financing Charges,-127000000.0,244000000.0,-137000000.0,-116000000.0,
Proceeds From Stock Option Exercised,-23000000.0,-25000000.0,-18000000.0,-15000000.0,
Cash Dividends Paid,-98000000.0,-130000000.0,-161000000.0,-162000000.0,
Common Stock Dividend Paid,-98000000.0,-130000000.0,-161000000.0,-162000000.0,
Net Common Stock Issuance,-402000000.0,-177000000.0,-240000000.0,0.0,
Common Stock Payments,-402000000.0,-177000000.0,-240000000.0,0.0,
Net Issuance Payments Of Debt,483000000.0,-433000000.0,-8000000.0,587000000.0,
Net Short Term Debt Issuance,,,,,8000000.0
Net Long Term Debt Issuance,483000000.0,-433000000.0,-8000000.0,587000000.0,
Long Term Debt Payments,-525000000.0,-451000000.0,-13000000.0,-699000000.0,
Long Term Debt Issuance,1008000000.0,18000000.0,5000000.0,1286000000.0,
Investing Cash Flow,-603000000.0,-593000000.0,-1320000000.0,-1249000000.0,
Cash Flow From Continuing Investing Activities,-603000000.0,-593000000.0,-1320000000.0,-1249000000.0,
Net Other Investing Changes,4000000.0,30000000.0,20000000.0,13000000.0,
Net Investment Purchase And Sale,38000000.0,309000000.0,-433000000.0,-9000000.0,
Sale Of Investment,46000000.0,309000000.0,40000000.0,11000000.0,
Purchase Of Investment,-8000000.0,,-473000000.0,-20000000.0,-2000000.0
Net Business Purchase And Sale,8000000.0,-100000000.0,-285000000.0,-737000000.0,
Sale Of Business,8000000.0,9000000.0,27000000.0,22000000.0,
Purchase Of Business,0.0,-109000000.0,-312000000.0,-759000000.0,
Capital Expenditure Reported,-653000000.0,-832000000.0,-622000000.0,-516000000.0,
Operating Cash Flow,1382000000.0,1397000000.0,1180000000.0,1210000000.0,
Cash Flow From Continuing Operating Activities,1382000000.0,1397000000.0,1180000000.0,1210000000.0,
Change In Working Capital,-208000000.0,-93000000.0,-152000000.0,-184000000.0,
Change In Other Working Capital,-72000000.0,89000000.0,-35000000.0,97000000.0,
Change In Payables And Accrued Expense,-292000000.0,375000000.0,433000000.0,-61000000.0,
Change In Payable,-292000000.0,375000000.0,433000000.0,-61000000.0,
Change In Account Payable,-292000000.0,375000000.0,433000000.0,-61000000.0,
Change In Prepaid Assets,-18000000.0,-3000000.0,17000000.0,14000000.0,
Change In Inventory,31000000.0,-72000000.0,-158000000.0,-179000000.0,
Change In Receivables,143000000.0,-482000000.0,-409000000.0,-55000000.0,
Other Non Cash Items,-15000000.0,41000000.0,8000000.0,38000000.0,
Stock Based Compensation,62000000.0,58000000.0,64000000.0,50000000.0,
Unrealized Gain Loss On Investment Securities,,,73000000.0,362000000.0,-382000000.0
Asset Impairment Charge,646000000.0,29000000.0,30000000.0,0.0,
Deferred Tax,-156000000.0,-44000000.0,-76000000.0,-96000000.0,
Deferred Income Tax,-156000000.0,-44000000.0,-76000000.0,-96000000.0,
Depreciation Amortization Depletion,673000000.0,582000000.0,552000000.0,574000000.0,
Depreciation And Amortization,673000000.0,582000000.0,552000000.0,574000000.0,
Amortization Cash Flow,69000000.0,67000000.0,69000000.0,59000000.0,
Amortization Of Intangibles,69000000.0,67000000.0,69000000.0,59000000.0,
Depreciation,604000000.0,515000000.0,483000000.0,515000000.0,
Operating Gains Losses,-48000000.0,122000000.0,36000000.0,383000000.0,
Pension And Employee Benefit Expense,-45000000.0,-19000000.0,-21000000.0,-28000000.0,
Gain Loss On Investment Securities,1000000.0,174000000.0,73000000.0,362000000.0,
Gain Loss On Sale Of Business,6000000.0,-5000000.0,-16000000.0,29000000.0,
Net Income From Continuing Operations,428000000.0,702000000.0,718000000.0,445000000.0,
