,2023-01-31,2022-01-31,2021-01-31
Free Cash Flow,2025000000.0,1464000000.0,1341000000.0
Repurchase Of Capital Stock,-1101000000.0,-1079000000.0,-552000000.0
Repayment Of Debt,-350000000.0,0.0,-450000000.0
Issuance Of Debt,0.0,997000000.0,0.0
Issuance Of Capital Stock,124000000.0,114000000.0,114000000.0
Capital Expenditure,-46000000.0,-67000000.0,-96000000.0
Interest Paid Supplemental Data,86000000.0,58000000.0,63000000.0
Income Tax Paid Supplemental Data,241000000.0,165000000.0,93000000.0
End Cash Position,1947000000.0,1528000000.0,1772000000.0
Beginning Cash Position,1528000000.0,1772000000.0,1775000000.0
Effect Of Exchange Rate Changes,-22000000.0,-11000000.0,11000000.0
Changes In Cash,441000000.0,-233000000.0,-14000000.0
Financing Cash Flow,-1487000000.0,-169000000.0,-1047000000.0
Cash Flow From Continuing Financing Activities,-1487000000.0,-169000000.0,-1047000000.0
Net Other Financing Charges,-160000000.0,-201000000.0,-159000000.0
Net Common Stock Issuance,-977000000.0,-965000000.0,-438000000.0
Common Stock Payments,-1101000000.0,-1079000000.0,-552000000.0
Common Stock Issuance,124000000.0,114000000.0,114000000.0
Net Issuance Payments Of Debt,-350000000.0,997000000.0,-450000000.0
Net Long Term Debt Issuance,-350000000.0,997000000.0,-450000000.0
Long Term Debt Payments,-350000000.0,0.0,-450000000.0
Long Term Debt Issuance,0.0,997000000.0,0.0
Investing Cash Flow,-143000000.0,-1595000000.0,-404000000.0
Cash Flow From Continuing Investing Activities,-143000000.0,-1595000000.0,-404000000.0
Net Other Investing Changes,-54000000.0,-5000000.0,-58000000.0
Net Investment Purchase And Sale,53000000.0,-273000000.0,-4000000.0
Sale Of Investment,450000000.0,38000000.0,17000000.0
Purchase Of Investment,-397000000.0,-311000000.0,-21000000.0
Net Business Purchase And Sale,-96000000.0,-1250000000.0,-246000000.0
Purchase Of Business,-96000000.0,-1250000000.0,-246000000.0
Net Intangibles Purchase And Sale,-6000000.0,-11000000.0,-5000000.0
Purchase Of Intangibles,-6000000.0,-11000000.0,-5000000.0
Capital Expenditure Reported,-40000000.0,-56000000.0,-91000000.0
Operating Cash Flow,2071000000.0,1531000000.0,1437000000.0
Cash Flow From Continuing Operating Activities,2071000000.0,1531000000.0,1437000000.0
Change In Working Capital,692000000.0,217000000.0,447000000.0
Change In Other Working Capital,798000000.0,419000000.0,344000000.0
Change In Payables And Accrued Expense,144000000.0,-2000000.0,146000000.0
Change In Payable,144000000.0,-2000000.0,146000000.0
Change In Account Payable,-5000000.0,10000000.0,130000000.0
Change In Tax Payable,149000000.0,-12000000.0,16000000.0
Change In Income Tax Payable,149000000.0,-12000000.0,16000000.0
Change In Prepaid Assets,-3000000.0,-134000000.0,-56000000.0
Change In Receivables,-247000000.0,-66000000.0,13000000.0
Changes In Account Receivables,-247000000.0,-66000000.0,13000000.0
Other Non Cash Items,-8000000.0,18000000.0,39000000.0
Stock Based Compensation,657000000.0,555000000.0,398000000.0
Asset Impairment Charge,34000000.0,104000000.0,0.0
Deferred Tax,-277000000.0,-8000000.0,-779000000.0
Deferred Income Tax,-277000000.0,-8000000.0,-779000000.0
Depreciation Amortization Depletion,150000000.0,148000000.0,124000000.0
Depreciation And Amortization,150000000.0,148000000.0,124000000.0
Depreciation,150000000.0,148000000.0,124000000.0
Net Income From Continuing Operations,823000000.0,497000000.0,1208000000.0
