,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,64906002.0,53792081.0,49453665.0,43798984.0,
Ordinary Shares Number,218669874.0,229783795.0,234122211.0,239776892.0,
Share Issued,283575876.0,283575876.0,283575876.0,283575876.0,
Net Debt,2067000000.0,2246000000.0,3117000000.0,2483000000.0,
Total Debt,4343000000.0,3929000000.0,4307000000.0,4522000000.0,
Tangible Book Value,2701000000.0,2251000000.0,3627000000.0,2578000000.0,
Invested Capital,9693000000.0,9608000000.0,11424000000.0,11275000000.0,
Working Capital,2875000000.0,2450000000.0,2381000000.0,2799000000.0,
Net Tangible Assets,2701000000.0,2251000000.0,3627000000.0,2578000000.0,
Capital Lease Obligations,182000000.0,149000000.0,107000000.0,195000000.0,
Common Stock Equity,5532000000.0,5828000000.0,7224000000.0,6948000000.0,
Total Capitalization,9295000000.0,9535000000.0,11364000000.0,11209000000.0,
Total Equity Gross Minority Interest,5706000000.0,6066000000.0,7508000000.0,7262000000.0,
Minority Interest,174000000.0,238000000.0,284000000.0,314000000.0,
Stockholders Equity,5532000000.0,5828000000.0,7224000000.0,6948000000.0,
Gains Losses Not Affecting Retained Earnings,-1020000000.0,-828000000.0,-876000000.0,-551000000.0,
Other Equity Adjustments,-1020000000.0,-828000000.0,-876000000.0,-551000000.0,
Treasury Stock,2537000000.0,2188000000.0,2032000000.0,1812000000.0,
Retained Earnings,6412000000.0,6152000000.0,7454000000.0,6671000000.0,
Additional Paid In Capital,2674000000.0,2689000000.0,2675000000.0,2637000000.0,
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0,
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,8287000000.0,8387000000.0,9486000000.0,9313000000.0,
Total Non Current Liabilities Net Minority Interest,4641000000.0,4620000000.0,5250000000.0,5515000000.0,
Other Non Current Liabilities,97000000.0,81000000.0,64000000.0,115000000.0,
Liabilities Heldfor Sale Non Current,,0.0,295000000.0,,
Derivative Product Liabilities,,,,54000000.0,162000000.0
Employee Benefits,137000000.0,146000000.0,147000000.0,331000000.0,
Non Current Pension And Other Postretirement Benefit Plans,137000000.0,146000000.0,147000000.0,331000000.0,
Tradeand Other Payables Non Current,118000000.0,226000000.0,242000000.0,274000000.0,
Non Current Deferred Liabilities,255000000.0,243000000.0,202000000.0,274000000.0,
Non Current Deferred Revenue,88000000.0,83000000.0,59000000.0,68000000.0,
Non Current Deferred Taxes Liabilities,167000000.0,160000000.0,143000000.0,206000000.0,
Long Term Debt And Capital Lease Obligation,3907000000.0,3819000000.0,4225000000.0,4413000000.0,
Long Term Capital Lease Obligation,144000000.0,112000000.0,85000000.0,152000000.0,
Long Term Debt,3763000000.0,3707000000.0,4140000000.0,4261000000.0,
Long Term Provisions,127000000.0,105000000.0,75000000.0,108000000.0,
Current Liabilities,3646000000.0,3767000000.0,4236000000.0,3798000000.0,
Other Current Liabilities,186000000.0,173000000.0,1100000000.0,249000000.0,
Current Deferred Liabilities,205000000.0,158000000.0,145000000.0,285000000.0,
Current Deferred Revenue,195000000.0,145000000.0,122000000.0,241000000.0,
Current Debt And Capital Lease Obligation,436000000.0,110000000.0,82000000.0,109000000.0,
Current Capital Lease Obligation,38000000.0,37000000.0,22000000.0,43000000.0,
Current Debt,398000000.0,73000000.0,60000000.0,66000000.0,
Other Current Borrowings,398000000.0,73000000.0,60000000.0,66000000.0,
Pensionand Other Post Retirement Benefit Plans Current,41000000.0,72000000.0,32000000.0,101000000.0,
Current Provisions,88000000.0,91000000.0,110000000.0,128000000.0,
Payables And Accrued Expenses,2690000000.0,3163000000.0,2767000000.0,2926000000.0,
Current Accrued Expenses,414000000.0,381000000.0,366000000.0,399000000.0,
Interest Payable,31000000.0,26000000.0,22000000.0,23000000.0,
Payables,2276000000.0,2782000000.0,2401000000.0,2527000000.0,
Dividends Payable,,0.0,21000000.0,18000000.0,6000000.0
Total Tax Payable,244000000.0,236000000.0,234000000.0,233000000.0,
Income Tax Payable,115000000.0,103000000.0,107000000.0,105000000.0,
Accounts Payable,2032000000.0,2546000000.0,2146000000.0,2276000000.0,
Total Assets,13993000000.0,14453000000.0,16994000000.0,16575000000.0,
Total Non Current Assets,7472000000.0,8236000000.0,10377000000.0,9978000000.0,
Other Non Current Assets,85000000.0,97000000.0,2182000000.0,236000000.0,
Non Current Deferred Assets,359000000.0,257000000.0,179000000.0,254000000.0,
Non Current Deferred Taxes Assets,359000000.0,257000000.0,179000000.0,254000000.0,
Non Current Accounts Receivable,41000000.0,56000000.0,56000000.0,102000000.0,
Financial Assets,89000000.0,15000000.0,68000000.0,8000000.0,
Investments And Advances,315000000.0,308000000.0,763000000.0,428000000.0,
Investmentin Financial Assets,70000000.0,71000000.0,528000000.0,130000000.0,
Held To Maturity Securities,,0.0,455000000.0,0.0,
Available For Sale Securities,70000000.0,71000000.0,73000000.0,130000000.0,
Long Term Equity Investment,245000000.0,237000000.0,235000000.0,298000000.0,
Investmentsin Associatesat Cost,,,279000000.0,298000000.0,297000000.0
Goodwill And Other Intangible Assets,2831000000.0,3577000000.0,3597000000.0,4370000000.0,
Other Intangible Assets,474000000.0,564000000.0,619000000.0,1091000000.0,
Goodwill,2357000000.0,3013000000.0,2978000000.0,3279000000.0,
Net PPE,3752000000.0,3926000000.0,3532000000.0,4580000000.0,
Accumulated Depreciation,-4007000000.0,-3816000000.0,-3531000000.0,-3713000000.0,
Gross PPE,7759000000.0,7742000000.0,7063000000.0,8293000000.0,
Construction In Progress,437000000.0,671000000.0,529000000.0,471000000.0,
Other Properties,448000000.0,425000000.0,358000000.0,511000000.0,
Machinery Furniture Equipment,5520000000.0,5327000000.0,4963000000.0,5807000000.0,
Land And Improvements,1354000000.0,1319000000.0,1213000000.0,1504000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,6521000000.0,6217000000.0,6617000000.0,6597000000.0,
Other Current Assets,94000000.0,84000000.0,84000000.0,110000000.0,
Hedging Assets Current,19000000.0,32000000.0,12000000.0,13000000.0,
Assets Held For Sale Current,,0.0,1616000000.0,,
Restricted Cash,,,,3000000.0,0.0
Prepaid Assets,205000000.0,127000000.0,120000000.0,181000000.0,
Inventory,1251000000.0,1313000000.0,1217000000.0,1534000000.0,
Inventories Adjustments Allowances,0.0,-32000000.0,-25000000.0,-25000000.0,
Finished Goods,189000000.0,194000000.0,187000000.0,327000000.0,
Work In Process,147000000.0,160000000.0,136000000.0,175000000.0,
Raw Materials,915000000.0,991000000.0,919000000.0,1057000000.0,
Receivables,2858000000.0,3127000000.0,2485000000.0,2915000000.0,
Receivables Adjustments Allowances,-21000000.0,-12000000.0,-11000000.0,-13000000.0,
Other Receivables,296000000.0,382000000.0,170000000.0,166000000.0,
Taxes Receivable,310000000.0,238000000.0,193000000.0,240000000.0,
Accounts Receivable,2273000000.0,2519000000.0,2133000000.0,2522000000.0,
Gross Accounts Receivable,,,,,2636000000.0
Cash Cash Equivalents And Short Term Investments,2094000000.0,1534000000.0,1083000000.0,1844000000.0,
Cash And Cash Equivalents,2094000000.0,1534000000.0,1083000000.0,1844000000.0,
