,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-157080000.0,-72210000.0,-31396495.071194,-73710000.0,
Tax Rate For Calcs,0.21,0.29,0.213582,0.13,
Normalized EBITDA,2044000000.0,1895000000.0,1683000000.0,1733000000.0,
Total Unusual Items,-748000000.0,-249000000.0,-147000000.0,-567000000.0,
Total Unusual Items Excluding Goodwill,-748000000.0,-249000000.0,-147000000.0,-567000000.0,
Net Income From Continuing Operation Net Minority Interest,367000000.0,632000000.0,636000000.0,343000000.0,
Reconciled Depreciation,673000000.0,582000000.0,552000000.0,574000000.0,
Reconciled Cost Of Revenue,11438000000.0,11630000000.0,10266000000.0,9630000000.0,
EBITDA,1296000000.0,1646000000.0,1536000000.0,1166000000.0,
EBIT,623000000.0,1064000000.0,984000000.0,592000000.0,
Net Interest Income,-30000000.0,-38000000.0,-51000000.0,-71000000.0,
Interest Expense,84000000.0,73000000.0,71000000.0,82000000.0,
Interest Income,54000000.0,35000000.0,20000000.0,11000000.0,
Normalized Income,957920000.0,808790000.0,751603504.928806,836290000.0,
Net Income From Continuing And Discontinued Operation,338000000.0,625000000.0,944000000.0,537000000.0,
Total Expenses,12796000000.0,12950000000.0,11552000000.0,10697000000.0,
Total Operating Income As Reported,546000000.0,1160000000.0,1009000000.0,914000000.0,
Diluted Average Shares,224800000.0,234400000.0,236800000.0,239776892.0,
Basic Average Shares,223500000.0,232800000.0,235500000.0,239776892.0,
Diluted EPS,1.5,2.67,3.99,2.239582,
Basic EPS,1.51,2.68,4.01,2.239582,
Diluted NI Availto Com Stockholders,338000000.0,625000000.0,944000000.0,537000000.0,
Net Income Common Stockholders,338000000.0,625000000.0,944000000.0,537000000.0,
Net Income,338000000.0,625000000.0,944000000.0,537000000.0,
Minority Interests,-61000000.0,-70000000.0,-82000000.0,-102000000.0,
Net Income Including Noncontrolling Interests,399000000.0,695000000.0,1026000000.0,639000000.0,
Net Income Discontinuous Operations,-29000000.0,-7000000.0,308000000.0,194000000.0,
Net Income Continuous Operations,428000000.0,702000000.0,718000000.0,445000000.0,
Tax Provision,111000000.0,289000000.0,195000000.0,65000000.0,
Pretax Income,539000000.0,991000000.0,913000000.0,510000000.0,
Other Income Expense,-721000000.0,-219000000.0,-119000000.0,-525000000.0,
Other Non Operating Income Expenses,,,31000000.0,54000000.0,11000000.0
Special Income Charges,-747000000.0,-75000000.0,-74000000.0,-205000000.0,
Gain On Sale Of Ppe,-2000000.0,13000000.0,0.0,0.0,
Gain On Sale Of Business,-6000000.0,5000000.0,13000000.0,-29000000.0,
Other Special Charges,,-38000000.0,,20000000.0,-9000000.0
Write Off,,,,14000000.0,17000000.0
Impairment Of Capital Assets,646000000.0,29000000.0,30000000.0,0.0,
Restructuring And Mergern Acquisition,93000000.0,102000000.0,57000000.0,156000000.0,
Earnings From Equity Interest,27000000.0,30000000.0,28000000.0,42000000.0,
Gain On Sale Of Security,-1000000.0,-174000000.0,-73000000.0,-362000000.0,
Net Non Operating Interest Income Expense,-30000000.0,-38000000.0,-51000000.0,-71000000.0,
Interest Expense Non Operating,84000000.0,73000000.0,71000000.0,82000000.0,
Interest Income Non Operating,54000000.0,35000000.0,20000000.0,11000000.0,
Operating Income,1290000000.0,1248000000.0,1083000000.0,1106000000.0,
Operating Expense,1358000000.0,1320000000.0,1286000000.0,1067000000.0,
Other Operating Expenses,-5000000.0,-11000000.0,-4000000.0,-11000000.0,
Depreciation Amortization Depletion Income Statement,,,0.0,0.0,38000000.0
Depreciation And Amortization In Income Statement,,,0.0,0.0,38000000.0
Amortization,,,0.0,0.0,38000000.0
Amortization Of Intangibles Income Statement,,,0.0,0.0,38000000.0
Selling General And Administration,1363000000.0,1331000000.0,1290000000.0,1078000000.0,
General And Administrative Expense,1363000000.0,1331000000.0,1290000000.0,1078000000.0,
Other Gand A,1350000000.0,1316000000.0,1290000000.0,1085000000.0,
Salaries And Wages,13000000.0,15000000.0,0.0,-7000000.0,
Gross Profit,2648000000.0,2568000000.0,2369000000.0,2173000000.0,
Cost Of Revenue,11438000000.0,11630000000.0,10266000000.0,9630000000.0,
Total Revenue,14086000000.0,14198000000.0,12635000000.0,11803000000.0,
Operating Revenue,14086000000.0,14198000000.0,12635000000.0,11803000000.0,
