,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,102199470.0,105208817.0,107698498.0,110685989.0,
Share Issued,102199470.0,105208817.0,107698498.0,110685989.0,
Total Debt,233519000.0,241899000.0,237851000.0,265078000.0,
Tangible Book Value,1139605000.0,1347948000.0,1325431000.0,1154862000.0,
Invested Capital,1378003000.0,1588351000.0,1568558000.0,1381051000.0,
Working Capital,843683000.0,1062028000.0,1068910000.0,909874000.0,
Net Tangible Assets,1139605000.0,1347948000.0,1325431000.0,1154862000.0,
Capital Lease Obligations,233519000.0,241899000.0,237851000.0,265078000.0,
Common Stock Equity,1378003000.0,1588351000.0,1568558000.0,1381051000.0,
Total Capitalization,1378003000.0,1588351000.0,1568558000.0,1381051000.0,
Total Equity Gross Minority Interest,1378003000.0,1588351000.0,1568558000.0,1381051000.0,
Stockholders Equity,1378003000.0,1588351000.0,1568558000.0,1381051000.0,
Gains Losses Not Affecting Retained Earnings,-65138000.0,-32626000.0,-43623000.0,-22622000.0,
Other Equity Adjustments,-65138000.0,-32626000.0,-43623000.0,-22622000.0,
Retained Earnings,24889000.0,266169000.0,318508000.0,167659000.0,
Additional Paid In Capital,1418150000.0,1354703000.0,1293565000.0,1235903000.0,
Capital Stock,102000.0,105000.0,108000.0,111000.0,
Common Stock,102000.0,105000.0,108000.0,111000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,1476402000.0,1422438000.0,1395930000.0,1571308000.0,
Total Non Current Liabilities Net Minority Interest,190663000.0,187327000.0,179728000.0,212635000.0,
Other Non Current Liabilities,21763000.0,25887000.0,27960000.0,31344000.0,
Long Term Debt And Capital Lease Obligation,168900000.0,161440000.0,151768000.0,181291000.0,
Long Term Capital Lease Obligation,168900000.0,161440000.0,151768000.0,181291000.0,
Current Liabilities,1285739000.0,1235111000.0,1216202000.0,1358673000.0,
Current Deferred Liabilities,678403000.0,572913000.0,474111000.0,535276000.0,
Current Debt And Capital Lease Obligation,64619000.0,80459000.0,86083000.0,83787000.0,
Current Capital Lease Obligation,64619000.0,80459000.0,86083000.0,83787000.0,
Current Debt,,,,,239000.0
Other Current Borrowings,,,,,239000.0
Current Notes Payable,,,,0.0,239000.0
Pensionand Other Post Retirement Benefit Plans Current,12469000.0,14664000.0,15312000.0,16820000.0,
Payables And Accrued Expenses,530248000.0,567075000.0,640696000.0,722790000.0,
Current Accrued Expenses,330803000.0,367830000.0,423439000.0,449246000.0,
Payables,199445000.0,199245000.0,217257000.0,273544000.0,
Total Tax Payable,32490000.0,42583000.0,49094000.0,89748000.0,
Income Tax Payable,2977000.0,11144000.0,15535000.0,15631000.0,
Accounts Payable,166955000.0,156662000.0,168163000.0,183796000.0,
Total Assets,2854405000.0,3010789000.0,2964488000.0,2952359000.0,
Total Non Current Assets,724983000.0,713650000.0,679376000.0,683812000.0,
Non Current Deferred Assets,168637000.0,155182000.0,124564000.0,135427000.0,
Non Current Deferred Taxes Assets,158120000.0,140135000.0,124564000.0,135427000.0,
Goodwill And Other Intangible Assets,238398000.0,240403000.0,243127000.0,226189000.0,
Other Intangible Assets,1218000.0,2433000.0,5317000.0,3334000.0,
Goodwill,237180000.0,237970000.0,237810000.0,222855000.0,
Net PPE,317948000.0,318065000.0,311685000.0,322196000.0,
Accumulated Depreciation,-532957000.0,-548713000.0,-538698000.0,-568315000.0,
Gross PPE,850905000.0,866778000.0,850383000.0,890511000.0,
Leases,200565000.0,187806000.0,171893000.0,165153000.0,
Other Properties,198384000.0,209256000.0,201998000.0,228793000.0,
Machinery Furniture Equipment,451956000.0,469716000.0,476492000.0,496565000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2129422000.0,2297139000.0,2285112000.0,2268547000.0,
Other Current Assets,53712000.0,34433000.0,49963000.0,55646000.0,
Current Deferred Assets,701657000.0,602095000.0,488842000.0,539683000.0,
Prepaid Assets,64185000.0,67999000.0,69394000.0,69526000.0,
Receivables,772285000.0,860872000.0,1018287000.0,984691000.0,
Accounts Receivable,772285000.0,860872000.0,1018287000.0,984691000.0,
Allowance For Doubtful Accounts Receivable,-21961000.0,-25189000.0,-22561000.0,-21530000.0,
Gross Accounts Receivable,794246000.0,886061000.0,1040848000.0,1006221000.0,
Cash Cash Equivalents And Short Term Investments,537583000.0,731740000.0,658626000.0,619001000.0,
Cash And Cash Equivalents,537583000.0,731740000.0,658626000.0,619001000.0,
