,2024-03-31,2023-03-31,2022-03-31
Ordinary Shares Number,1040330497.0,1025234000.0,1026054856.0
Share Issued,1040330497.0,1025234000.0,1026054856.0
Total Debt,226000000.0,221000000.0,261000000.0
Tangible Book Value,3518000000.0,2293000000.0,1707000000.0
Invested Capital,5295000000.0,4051000000.0,3548000000.0
Working Capital,2692000000.0,2174000000.0,1697000000.0
Net Tangible Assets,3518000000.0,2293000000.0,1707000000.0
Capital Lease Obligations,226000000.0,221000000.0,261000000.0
Common Stock Equity,5295000000.0,4051000000.0,3548000000.0
Total Capitalization,5295000000.0,4051000000.0,3548000000.0
Total Equity Gross Minority Interest,5295000000.0,4051000000.0,3548000000.0
Stockholders Equity,5295000000.0,4051000000.0,3548000000.0
Gains Losses Not Affecting Retained Earnings,371000000.0,376000000.0,399000000.0
Other Equity Adjustments,371000000.0,376000000.0,399000000.0
Retained Earnings,2751000000.0,2457000000.0,1933000000.0
Additional Paid In Capital,2171000000.0,1216000000.0,1214000000.0
Capital Stock,2000000.0,2000000.0,2000000.0
Common Stock,2000000.0,2000000.0,2000000.0
Total Liabilities Net Minority Interest,2632000000.0,2815000000.0,2962000000.0
Total Non Current Liabilities Net Minority Interest,1127000000.0,1452000000.0,1567000000.0
Other Non Current Liabilities,61000000.0,38000000.0,108000000.0
Employee Benefits,20000000.0,152000000.0,158000000.0
Non Current Accrued Expenses,,152000000.0,158000000.0
Non Current Deferred Liabilities,852000000.0,1069000000.0,1071000000.0
Non Current Deferred Revenue,717000000.0,807000000.0,792000000.0
Non Current Deferred Taxes Liabilities,135000000.0,262000000.0,279000000.0
Long Term Debt And Capital Lease Obligation,194000000.0,193000000.0,230000000.0
Long Term Capital Lease Obligation,194000000.0,193000000.0,230000000.0
Current Liabilities,1505000000.0,1363000000.0,1395000000.0
Other Current Liabilities,40000000.0,35000000.0,76000000.0
Current Deferred Liabilities,205000000.0,300000000.0,334000000.0
Current Deferred Revenue,205000000.0,300000000.0,334000000.0
Current Debt And Capital Lease Obligation,32000000.0,28000000.0,31000000.0
Current Capital Lease Obligation,32000000.0,28000000.0,31000000.0
Pensionand Other Post Retirement Benefit Plans Current,273000000.0,578000000.0,642000000.0
Payables And Accrued Expenses,955000000.0,422000000.0,312000000.0
Current Accrued Expenses,108000000.0,130000000.0,98000000.0
Payables,847000000.0,292000000.0,214000000.0
Dueto Related Parties Current,,17000000.0,28000000.0
Total Tax Payable,821000000.0,210000000.0,129000000.0
Accounts Payable,26000000.0,82000000.0,57000000.0
Total Assets,7927000000.0,6866000000.0,6510000000.0
Total Non Current Assets,3730000000.0,3329000000.0,3418000000.0
Other Non Current Assets,270000000.0,202000000.0,189000000.0
Non Current Deferred Assets,282000000.0,139000000.0,135000000.0
Non Current Deferred Taxes Assets,282000000.0,139000000.0,135000000.0
Non Current Accounts Receivable,240000000.0,116000000.0,100000000.0
Investments And Advances,741000000.0,723000000.0,736000000.0
Investmentin Financial Assets,157000000.0,122000000.0,97000000.0
Available For Sale Securities,157000000.0,122000000.0,97000000.0
Long Term Equity Investment,584000000.0,601000000.0,639000000.0
Investments In Other Ventures Under Equity Method,584000000.0,601000000.0,639000000.0
Goodwill And Other Intangible Assets,1777000000.0,1758000000.0,1841000000.0
Other Intangible Assets,152000000.0,138000000.0,205000000.0
Goodwill,1625000000.0,1620000000.0,1636000000.0
Net PPE,420000000.0,391000000.0,417000000.0
Accumulated Depreciation,-391000000.0,-473000000.0,-441000000.0
Gross PPE,811000000.0,864000000.0,858000000.0
Leases,159000000.0,162000000.0,182000000.0
Construction In Progress,16000000.0,0.0,
Other Properties,593000000.0,574000000.0,548000000.0
Machinery Furniture Equipment,43000000.0,53000000.0,53000000.0
Buildings And Improvements,0.0,75000000.0,75000000.0
Properties,0.0,0.0,0.0
Current Assets,4197000000.0,3537000000.0,3092000000.0
Other Current Assets,157000000.0,169000000.0,167000000.0
Receivables,1117000000.0,1153000000.0,1290000000.0
Other Receivables,336000000.0,154000000.0,166000000.0
Accounts Receivable,781000000.0,999000000.0,1124000000.0
Allowance For Doubtful Accounts Receivable,-3000000.0,-3000000.0,-40000000.0
Gross Accounts Receivable,784000000.0,1002000000.0,1164000000.0
Cash Cash Equivalents And Short Term Investments,2923000000.0,2215000000.0,1635000000.0
Other Short Term Investments,1000000000.0,661000000.0,631000000.0
Cash And Cash Equivalents,1923000000.0,1554000000.0,1004000000.0
