,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-122550000.0,-7560000.0,-12423000.0,-88560000.0,
Tax Rate For Calcs,0.19,0.045,0.101,0.27,
Normalized EBITDA,1200000000.0,1184000000.0,1334000000.0,907000000.0,
Total Unusual Items,-645000000.0,-168000000.0,-123000000.0,-328000000.0,
Total Unusual Items Excluding Goodwill,-645000000.0,-168000000.0,-123000000.0,-328000000.0,
Net Income From Continuing Operation Net Minority Interest,-229000000.0,616000000.0,822000000.0,-62000000.0,
Reconciled Depreciation,188000000.0,179000000.0,193000000.0,212000000.0,
Reconciled Cost Of Revenue,1831000000.0,1895000000.0,1910000000.0,1463000000.0,
EBITDA,555000000.0,1016000000.0,1211000000.0,579000000.0,
EBIT,367000000.0,837000000.0,1018000000.0,367000000.0,
Net Interest Income,-6000000.0,-24000000.0,18000000.0,-43000000.0,
Interest Expense,,,,43000000.0,18000000.0
Normalized Income,293450000.0,776440000.0,932577000.0,177440000.0,
Net Income From Continuing And Discontinued Operation,-229000000.0,616000000.0,822000000.0,-62000000.0,
Total Expenses,4803000000.0,4782000000.0,4636000000.0,3693000000.0,
Total Operating Income As Reported,-241000000.0,679000000.0,903000000.0,19000000.0,
Diluted Average Shares,117014420.0,134002480.0,152497907.0,150453568.0,
Basic Average Shares,117014420.0,132532009.0,149724675.0,150453568.0,
Diluted EPS,-1.96,4.6,5.39,-0.41,
Basic EPS,-1.96,4.65,5.49,-0.41,
Diluted NI Availto Com Stockholders,-229000000.0,616000000.0,822000000.0,-62000000.0,
Net Income Common Stockholders,-229000000.0,616000000.0,822000000.0,-62000000.0,
Net Income,-229000000.0,616000000.0,822000000.0,-62000000.0,
Minority Interests,0.0,-3000000.0,-1000000.0,1000000.0,
Net Income Including Noncontrolling Interests,-229000000.0,619000000.0,823000000.0,-63000000.0,
Net Income Continuous Operations,-229000000.0,619000000.0,823000000.0,-63000000.0,
Tax Provision,-54000000.0,29000000.0,92000000.0,66000000.0,
Pretax Income,-283000000.0,648000000.0,915000000.0,3000000.0,
Other Income Expense,-644000000.0,-165000000.0,-121000000.0,-321000000.0,
Other Non Operating Income Expenses,1000000.0,3000000.0,2000000.0,7000000.0,
Special Income Charges,-608000000.0,-158000000.0,-115000000.0,-348000000.0,
Impairment Of Capital Assets,575000000.0,142000000.0,73000000.0,316000000.0,
Restructuring And Mergern Acquisition,33000000.0,16000000.0,42000000.0,32000000.0,
Gain On Sale Of Security,-37000000.0,-10000000.0,-8000000.0,20000000.0,
Net Non Operating Interest Income Expense,-6000000.0,-24000000.0,18000000.0,-43000000.0,
Total Other Finance Cost,6000000.0,24000000.0,-18000000.0,43000000.0,
Interest Expense Non Operating,,,,43000000.0,18000000.0
Operating Income,367000000.0,837000000.0,1018000000.0,367000000.0,
Operating Expense,2972000000.0,2887000000.0,2726000000.0,2230000000.0,
Depreciation Amortization Depletion Income Statement,188000000.0,179000000.0,193000000.0,212000000.0,
Depreciation And Amortization In Income Statement,188000000.0,179000000.0,193000000.0,212000000.0,
Selling General And Administration,2784000000.0,2708000000.0,2533000000.0,2018000000.0,
Gross Profit,3339000000.0,3724000000.0,3744000000.0,2597000000.0,
Cost Of Revenue,1831000000.0,1895000000.0,1910000000.0,1463000000.0,
Total Revenue,5170000000.0,5619000000.0,5654000000.0,4060000000.0,
Operating Revenue,5170000000.0,5619000000.0,5654000000.0,4060000000.0,
