,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-11940000.0,-43055000.0,-270000.0,-1770000.0,
Tax Rate For Calcs,0.199,0.395,0.27,0.177,
Normalized EBITDA,2111000000.0,2029000000.0,1626000000.0,1253000000.0,
Total Unusual Items,-60000000.0,-109000000.0,-1000000.0,-10000000.0,
Total Unusual Items Excluding Goodwill,-60000000.0,-109000000.0,-1000000.0,-10000000.0,
Net Income From Continuing Operation Net Minority Interest,1273000000.0,802000000.0,789000000.0,837000000.0,
Reconciled Depreciation,404000000.0,536000000.0,486000000.0,181000000.0,
Reconciled Cost Of Revenue,1448000000.0,1414000000.0,1556000000.0,1343000000.0,
EBITDA,2051000000.0,1920000000.0,1625000000.0,1243000000.0,
EBIT,1647000000.0,1384000000.0,1139000000.0,1062000000.0,
Net Interest Income,68000000.0,-9000000.0,-54000000.0,-21000000.0,
Interest Expense,58000000.0,58000000.0,58000000.0,45000000.0,
Interest Income,126000000.0,49000000.0,4000000.0,24000000.0,
Normalized Income,1321060000.0,867945000.0,789730000.0,845230000.0,
Net Income From Continuing And Discontinued Operation,1273000000.0,802000000.0,789000000.0,837000000.0,
Total Expenses,5982000000.0,5983000000.0,5862000000.0,4583000000.0,
Total Operating Income As Reported,1518000000.0,1332000000.0,1129000000.0,1046000000.0,
Diluted Average Shares,272000000.0,278000000.0,286000000.0,292000000.0,
Basic Average Shares,270000000.0,277000000.0,284000000.0,289000000.0,
Diluted EPS,4.68,2.88,2.76,2.87,
Basic EPS,4.71,2.9,2.78,2.9,
Diluted NI Availto Com Stockholders,1273000000.0,802000000.0,789000000.0,837000000.0,
Net Income Common Stockholders,1273000000.0,802000000.0,789000000.0,837000000.0,
Net Income,1273000000.0,802000000.0,789000000.0,837000000.0,
Net Income Including Noncontrolling Interests,1273000000.0,802000000.0,789000000.0,837000000.0,
Net Income Continuous Operations,1273000000.0,802000000.0,789000000.0,837000000.0,
Tax Provision,316000000.0,524000000.0,292000000.0,180000000.0,
Pretax Income,1589000000.0,1326000000.0,1081000000.0,1017000000.0,
Other Income Expense,-59000000.0,-108000000.0,6000000.0,-8000000.0,
Other Non Operating Income Expenses,1000000.0,1000000.0,7000000.0,2000000.0,
Special Income Charges,-62000000.0,-111000000.0,0.0,0.0,
Restructuring And Mergern Acquisition,62000000.0,111000000.0,0.0,0.0,
Gain On Sale Of Security,2000000.0,2000000.0,-1000000.0,-10000000.0,
Net Non Operating Interest Income Expense,68000000.0,-9000000.0,-54000000.0,-21000000.0,
Total Other Finance Cost,,,,2000000.0,2000000.0
Interest Expense Non Operating,58000000.0,58000000.0,58000000.0,45000000.0,
Interest Income Non Operating,126000000.0,49000000.0,4000000.0,24000000.0,
Operating Income,1580000000.0,1443000000.0,1129000000.0,1046000000.0,
Operating Expense,4272000000.0,4191000000.0,4003000000.0,3089000000.0,
Depreciation Amortization Depletion Income Statement,142000000.0,158000000.0,183000000.0,30000000.0,
Depreciation And Amortization In Income Statement,142000000.0,158000000.0,183000000.0,30000000.0,
Amortization,142000000.0,158000000.0,183000000.0,30000000.0,
Amortization Of Intangibles Income Statement,142000000.0,158000000.0,183000000.0,30000000.0,
Research And Development,2420000000.0,2328000000.0,2186000000.0,1778000000.0,
Selling General And Administration,1710000000.0,1705000000.0,1634000000.0,1281000000.0,
Selling And Marketing Expense,1019000000.0,978000000.0,961000000.0,689000000.0,
General And Administrative Expense,691000000.0,727000000.0,673000000.0,592000000.0,
Other Gand A,691000000.0,727000000.0,673000000.0,592000000.0,
Gross Profit,5852000000.0,5634000000.0,5132000000.0,4135000000.0,
Cost Of Revenue,1710000000.0,1792000000.0,1859000000.0,1494000000.0,
Total Revenue,7562000000.0,7426000000.0,6991000000.0,5629000000.0,
Operating Revenue,7562000000.0,7426000000.0,6991000000.0,5629000000.0,
